room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
1153544,1440,6278568,Entire home/apt,,Houston,,BRAYS OAKS,11,4.5,4,2.0,,150.0,, Luxury 2BR Suite: Apartment Stay,2017-07-13 15:11:35.088255,29.664255,-95.530779,0101000020E6100000D4997B48F8E157C059349D9D0CAA3D40
16651478,1440,110071268,Entire home/apt,,Houston,,FORT BEND HOUSTON,0,0.0,9,3.0,,175.0,,20 min from the heart of downtown,2017-07-13 15:11:32.322997,29.596123,-95.507452,0101000020E61000008C12F4177AE057C0B66455849B983D40
16912087,1440,40735794,Entire home/apt,,Houston,,MACGREGOR,0,0.0,7,3.0,,150.0,,3 bed/2 bath Home near NRG stadium!,2017-07-13 15:11:23.137677,29.716802,-95.351149,0101000020E61000007BC1A73979D657C018B5FB5580B73D40
16898725,1440,9109501,Entire home/apt,,Houston,,NEARTOWN - MONTROSE,0,0.0,4,2.0,,145.0,,Contemporary Townhome,2017-07-13 15:11:19.441237,29.750998,-95.408741,0101000020E610000033E202D028DA57C0855CA96741C03D40
12984498,1440,2079091,Entire home/apt,,Houston,,GREATER UPTOWN,0,0.0,6,3.0,,149.0,,Three bedroom - Furnished Apartment,2017-07-13 15:11:19.430989,29.741,-95.482439,0101000020E610000028D4D347E0DE57C004560E2DB2BD3D40
12562191,1440,43179334,Entire home/apt,,Houston,,BRAESWOOD,4,4.5,6,2.0,,180.0,,"Medical Center Luxury Apt., 2b/2b.",2017-07-13 15:11:19.422443,29.694505,-95.416765,0101000020E610000084471B47ACDA57C092E86514CBB13D40
16724849,1440,69458940,Entire home/apt,,Houston,,MID WEST,0,0.0,6,2.0,,150.0,,Apartment for SuperBowl weekend!,2017-07-13 15:11:16.350690,29.733843,-95.49316,0101000020E610000081ECF5EE8FDF57C006668522DDBB3D40
17075738,1440,75615753,Entire home/apt,,Houston,,WESTCHASE,0,0.0,5,1.0,,150.0,,Superbowl Special,2017-07-13 15:11:16.344520,29.725885,-95.543612,0101000020E6100000A46DFC89CAE257C02FA86F99D3B93D40
17126771,1440,41455816,Entire home/apt,,Houston,,MID WEST,6,5.0,8,4.0,,165.0,,Westchase / Galleria Area Charming House,2017-07-13 15:11:08.564106,29.731933,-95.534396,0101000020E61000003FC7478B33E257C0F9DC09F65FBB3D40
19143698,1440,120009405,Entire home/apt,,Houston,,MID WEST,0,0.0,6,2.0,,149.0,,Unique townhouse  centrally located in Houston,2017-07-13 15:11:07.111361,29.726211,-95.525234,0101000020E6100000D32F116F9DE157C0D6FECEF6E8B93D40
14559721,1440,1865268,Entire home/apt,,Houston,,NEARTOWN - MONTROSE,7,5.0,12,3.0,,169.0,,"Midtown/Montrose Skyline view, spacious city lux.",2017-07-13 15:10:48.703600,29.747502,-95.385225,0101000020E61000008126C286A7D857C0D1B1834A5CBF3D40
15644985,1440,99548213,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,0,0.0,8,3.0,,250.0,,Modern Townhouse Downtown/Midtown/Heights Houston,2017-07-13 15:16:19.224021,29.771745,-95.375841,0101000020E6100000BDDF68C70DD857C0FDD98F1491C53D40
16829502,1440,111998927,Entire home/apt,,Houston,,GREATER UPTOWN,0,0.0,5,1.0,,300.0,,Stylish Galleria/ Memorial/ Tanglewood Apartment,2017-07-13 15:16:13.395789,29.76039,-95.497222,0101000020E61000008236397CD2DF57C0983446EBA8C23D40
16965512,1440,113115508,Entire home/apt,,Houston,,SPRING BRANCH WEST,0,0.0,3,1.0,,300.0,,Comfortable 1 bdrm apt. Sleeps 3,2017-07-13 15:16:13.380074,29.816267,-95.565789,0101000020E6100000F0DB10E335E457C0D5CDC5DFF6D03D40
16945247,1440,111770563,Entire home/apt,,Houston,,MEMORIAL,0,0.0,2,1.0,,250.0,,Luxury Apartment with Access to all Amenities,2017-07-13 15:16:12.075165,29.763366,-95.557855,0101000020E61000003F3A75E5B3E357C0DBE044F46BC33D40
16912766,1440,104906212,Entire home/apt,,Houston,,ADDICKS PARK TEN,0,0.0,4,1.0,,300.0,,Amazing Rental just in time for the Super Bowl,2017-07-13 15:16:10.081506,29.789756,-95.638183,0101000020E61000003E7782FDD7E857C0DDD1FF722DCA3D40
19614092,1440,137941157,Entire home/apt,,Houston,,CENTRAL NORTHWEST,0,0.0,6,3.0,,230.0,,Bolivia Blvd House,2017-07-13 15:16:07.590873,29.844585,-95.468364,0101000020E6100000EBA7FFACF9DD57C031B1F9B836D83D40
19207661,1440,134397879,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,1,0.0,8,4.0,,200.0,,Large House in Rice Military,2017-07-13 15:16:05.887132,29.774615,-95.416394,0101000020E61000000A100533A6DA57C0B5FD2B2B4DC63D40
17529678,1440,109851856,Entire home/apt,,Houston,,LAZYBROOK / TIMBERGROVE,0,0.0,8,4.0,,300.0,,Deep In the Heart of Houston,2017-07-13 15:16:04.229385,29.790679,-95.428027,0101000020E610000085B35BCB64DB57C04DA25EF069CA3D40
